UAI_GES;UAI_COMPOSANTE;LIB_COMPOSANTE;LIB_INS;UAI_AFF;LIB_AFF;CODECOMMUNE;LIBCOMMUNE;CODEPOSTAL;ACADÉMIE;MINISTERETUTELLE;LIBMINISTERE;TYPEETA;CODEFORMATION;LIBFORMATION;CODESPÉCIALITÉ;LIBSPÉCIALITÉ;CODESPÉFORMATIONINITIALE;CODEMEF
0595821G;0595821G;CFA TERTIA FORMATION;;0595821G;CFA TERTIA FORMATION;59606;Valenciennes;59308;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11423;Management Commercial Opérationnel - en apprentissage;10423;3113121321
0595821G;0595821G;CFA TERTIA FORMATION;;0595821G;CFA TERTIA FORMATION;59606;Valenciennes;59308;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11421;Gestion de la PME - en apprentissage;10421;3113140921
0595821G;0595821G;CFA TERTIA FORMATION;;0595821G;CFA TERTIA FORMATION;59606;Valenciennes;59308;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1436;Electrotechnique - en apprentissage;436;3112551521
0595821G;0595821G;CFA TERTIA FORMATION;;0595821G;CFA TERTIA FORMATION;59606;Valenciennes;59308;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11418;Négociation et digitalisation de la Relation Client - en apprentissage;10418;3113121221
0595821G;0595821G;CFA TERTIA FORMATION;;0595821G;CFA TERTIA FORMATION;59606;Valenciennes;59308;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;1486;Comptabilité et gestion - en apprentissage;486;3113140821
0595821G;0595821G;CFA TERTIA FORMATION;;0595821G;CFA TERTIA FORMATION;59606;Valenciennes;59308;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11420;Support à l'action managériale - en apprentissage;10420;3113240921
0597097U;0597097U;IRTS Hauts-de-France - Site Hainaut Cambrésis;;0597097U;IRTS Hauts-de-France - Site Hainaut Cambrésis;59606;Valenciennes;59300;Lille;35;Ministère des Solidarités et de la Santé;Lycée à classe postbac;56000;D.E secteur social;561003;D.E Educateur Spécialisé - en apprentissage;560003;4413320231
0595380C;0595380C;CFAI-Valenciennes;;0595380C;CFAI-Valenciennes;59606;Valenciennes;59312;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1432;Conception et réalisation en chaudronnerie industrielle - en apprentissage;432;3112541521
0597097U;0597097U;IRTS Hauts-de-France - Site Hainaut Cambrésis;;0597097U;IRTS Hauts-de-France - Site Hainaut Cambrésis;59606;Valenciennes;59300;Lille;35;Ministère des Solidarités et de la Santé;Lycée à classe postbac;56000;D.E secteur social;561001;D.E Assistant de Service Social - en apprentissage;560001;4413320531
0595809U;0595809U;UFA Lycée de L'Escaut;;0595809U;UFA Lycée de L'Escaut;59606;Valenciennes;59305;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;11405;Pilotage des procédés - en apprentissage;10405;3112200321
0595380C;0595380C;CFAI-Valenciennes;;0595380C;CFAI-Valenciennes;59606;Valenciennes;59312;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1436;Electrotechnique - en apprentissage;436;3112551521
0593052X;0593052X;I.U.T. de Valenciennes;;0593052X;I.U.T. de Valenciennes;59606;Valenciennes;59313;Lille;38;Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation;I.U.T;51;DUT - Production;1530;Génie mécanique et productique - en apprentissage;530;
0593052X;0593052X;I.U.T. de Valenciennes;;0593052X;I.U.T. de Valenciennes;59606;Valenciennes;59313;Lille;38;Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation;I.U.T;52;DUT - Service;1540;Gestion des entreprises et des administrations - en apprentissage;540;
0593052X;0593052X;I.U.T. de Valenciennes;;0593052X;I.U.T. de Valenciennes;59606;Valenciennes;59313;Lille;38;Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation;I.U.T;51;DUT - Production;1527;Génie électrique et informatique industrielle - en apprentissage;527;
0595380C;0595380C;CFAI-Valenciennes;;0595380C;CFAI-Valenciennes;59606;Valenciennes;59312;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1426;Assistance technique d'ingénieur - en apprentissage;426;3112500121
0595380C;0595380C;CFAI-Valenciennes;;0595380C;CFAI-Valenciennes;59606;Valenciennes;59312;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11421;Gestion de la PME - en apprentissage;10421;3113140921
0595380C;0595380C;CFAI-Valenciennes;;0595380C;CFAI-Valenciennes;59606;Valenciennes;59312;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1385;Maintenance des systèmes - option A Systèmes de production - en apprentissage;385;3112501021
0595380C;0595380C;CFAI-Valenciennes;;0595380C;CFAI-Valenciennes;59606;Valenciennes;59312;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;11410;Conception des processus de réalisation de produits (1ère année commune) - en apprentissage;10410;3112231621
0590221V;0590221V;CFA académique - Lycée Wallon à Valenciennes;;0590221V;CFA académique - Lycée Wallon à Valenciennes;59606;Valenciennes;59322;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11424;Gestion des transports et logistique associée - en apprentissage;10424;3113110321
0590221V;0590221V;CFA académique - Lycée Wallon à Valenciennes;;0590221V;CFA académique - Lycée Wallon à Valenciennes;59606;Valenciennes;59322;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;1458;Services informatiques aux organisations - en apprentissage;458;3113260921
0590223X;0590223X;CFA académique - Lycée Du Hainaut;;0590223X;CFA académique - Lycée Du Hainaut;59606;Valenciennes;59322;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1432;Conception et réalisation en chaudronnerie industrielle - en apprentissage;432;3112541521
0590223X;0590223X;CFA académique - Lycée Du Hainaut;;0590223X;CFA académique - Lycée Du Hainaut;59606;Valenciennes;59322;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1434;Conception et réalisation de carrosseries - en apprentissage;434;3112541121
0593052X;0593052X;I.U.T. de Valenciennes;;0593052X;I.U.T. de Valenciennes;59606;Valenciennes;59313;Lille;38;Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation;I.U.T;52;DUT - Service;1547;Techniques de commercialisation - en apprentissage;547;
0590221V;0590221V;CFA académique - Lycée Wallon à Valenciennes;;0590221V;CFA académique - Lycée Wallon à Valenciennes;59606;Valenciennes;59322;Lille;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11420;Support à l'action managériale - en apprentissage;10420;3113240921
0593052X;0593052X;I.U.T. de Valenciennes;;0593052X;I.U.T. de Valenciennes;59606;Valenciennes;59313;Lille;38;Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation;I.U.T;51;DUT - Production;1529;Génie industriel et maintenance - en apprentissage;529;
0780850A;0780850A;AFORP Mantes-La-Ville;;0780850A;AFORP Mantes-La-Ville;78362;Mantes-la-Ville;78711;Versailles;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1395;Fluide, énergie, domotique - option A génie climatique et fluidique - en apprentissage;395;3112270921
0780850A;0780850A;AFORP Mantes-La-Ville;;0780850A;AFORP Mantes-La-Ville;78362;Mantes-la-Ville;78711;Versailles;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1385;Maintenance des systèmes - option A Systèmes de production - en apprentissage;385;3112501021
0780850A;0780850A;AFORP Mantes-La-Ville;;0780850A;AFORP Mantes-La-Ville;78362;Mantes-la-Ville;78711;Versailles;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1426;Assistance technique d'ingénieur - en apprentissage;426;3112500121
0780850A;0780850A;AFORP Mantes-La-Ville;;0780850A;AFORP Mantes-La-Ville;78362;Mantes-la-Ville;78711;Versailles;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1436;Electrotechnique - en apprentissage;436;3112551521
0780850A;0780850A;AFORP Mantes-La-Ville;;0780850A;AFORP Mantes-La-Ville;78362;Mantes-la-Ville;78711;Versailles;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;11410;Conception des processus de réalisation de produits (1ère année commune) - en apprentissage;10410;3112231621
0780850A;0780850A;AFORP Mantes-La-Ville;;0780850A;AFORP Mantes-La-Ville;78362;Mantes-la-Ville;78711;Versailles;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1402;Conception de produits industriels - en apprentissage;402;3112000921
0780850A;0780850A;AFORP Mantes-La-Ville;;0780850A;AFORP Mantes-La-Ville;78362;Mantes-la-Ville;78711;Versailles;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1432;Conception et réalisation en chaudronnerie industrielle - en apprentissage;432;3112541521
0492303M;0492303M;CFA E.C.49 - Lycée Saint Aubin La Salle - La Baronnerie;;0492303M;CFA E.C.49 - Lycée Saint Aubin La Salle - La Baronnerie;49323;Verrières-en-Anjou;49480;Nantes;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1406;Systèmes numériques - Option informatique et réseaux - en apprentissage;406;3112011221
0492303M;0492303M;CFA E.C.49 - Lycée Saint Aubin La Salle - La Baronnerie;;0492303M;CFA E.C.49 - Lycée Saint Aubin La Salle - La Baronnerie;49323;Verrières-en-Anjou;49480;Nantes;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;11406;Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production - en apprentissage;10406;3112250621
0492303M;0492303M;CFA E.C.49 - Lycée Saint Aubin La Salle - La Baronnerie;;0492303M;CFA E.C.49 - Lycée Saint Aubin La Salle - La Baronnerie;49323;Verrières-en-Anjou;49480;Nantes;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1429;Conception et industrialisation en microtechniques - en apprentissage;429;3112500521
0492303M;0492303M;CFA E.C.49 - Lycée Saint Aubin La Salle - La Baronnerie;;0492303M;CFA E.C.49 - Lycée Saint Aubin La Salle - La Baronnerie;49323;Verrières-en-Anjou;49480;Nantes;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1437;Systèmes numériques - Option électronique et communication - en apprentissage;437;3112551621
0492303M;0492303M;CFA E.C.49 - Lycée Saint Aubin La Salle - La Baronnerie;;0492303M;CFA E.C.49 - Lycée Saint Aubin La Salle - La Baronnerie;49323;Verrières-en-Anjou;49480;Nantes;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;11410;Conception des processus de réalisation de produits (1ère année commune) - en apprentissage;10410;3112231621
0492303M;0492303M;CFA E.C.49 - Lycée Saint Aubin La Salle - La Baronnerie;;0492303M;CFA E.C.49 - Lycée Saint Aubin La Salle - La Baronnerie;49323;Verrières-en-Anjou;49480;Nantes;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;1486;Comptabilité et gestion - en apprentissage;486;3113140821
0492303M;0492303M;CFA E.C.49 - Lycée Saint Aubin La Salle - La Baronnerie;;0492303M;CFA E.C.49 - Lycée Saint Aubin La Salle - La Baronnerie;49323;Verrières-en-Anjou;49480;Nantes;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;11414;Europlastics et composites à référentiel commun européen - option Conception d'Outillage - en apprentissage;10414;3112250521
0492303M;0492303M;CFA E.C.49 - Lycée Saint Aubin La Salle - La Baronnerie;;0492303M;CFA E.C.49 - Lycée Saint Aubin La Salle - La Baronnerie;49323;Verrières-en-Anjou;49480;Nantes;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1436;Electrotechnique - en apprentissage;436;3112551521
0611152W;0611152W;CFAI CFA;;0611152W;CFAI CFA;61143;Damigny;61250;Normandie;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1402;Conception de produits industriels - en apprentissage;402;3112000921
0611152W;0611152W;CFAI CFA;;0611152W;CFAI CFA;61143;Damigny;61250;Normandie;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1385;Maintenance des systèmes - option A Systèmes de production - en apprentissage;385;3112501021
0100059K;0100059K;Lycée LA SALLE;;0100059K;Lycée LA SALLE;10387;Troyes;10000;Reims;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;1458;Services informatiques aux organisations - en apprentissage;458;3113260921
0101141L;0101141L;OF-CFA Centre d'apprentissage Alternance Champagne Ardenne TROYES;;0101141L;OF-CFA Centre d'apprentissage Alternance Champagne Ardenne TROYES;10387;Troyes;10000;Reims;36;Ministère du Travail;Lycée à classe postbac;43;BTS - Services;11418;Négociation et digitalisation de la Relation Client - en apprentissage;10418;3113121221
0100078F;0100078F;Lycée professionnel Jeanne Mance;;0100078F;Lycée professionnel Jeanne Mance;10387;Troyes;10000;Reims;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11420;Support à l'action managériale - en apprentissage;10420;3113240921
0100078F;0100078F;Lycée professionnel Jeanne Mance;;0100078F;Lycée professionnel Jeanne Mance;10387;Troyes;10000;Reims;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;1462;Economie sociale familiale - en apprentissage;462;3113320421
0100078F;0100078F;Lycée professionnel Jeanne Mance;;0100078F;Lycée professionnel Jeanne Mance;10387;Troyes;10000;Reims;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;1367;Service et prestation des secteurs sanitaire et social - en apprentissage;367;3113300121
0100059K;0100059K;Lycée LA SALLE;;0100059K;Lycée LA SALLE;10387;Troyes;10000;Reims;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1398;Fluide, énergie, domotique - option B froid et conditionnement d'air - en apprentissage;398;3112271021
0100059K;0100059K;Lycée LA SALLE;;0100059K;Lycée LA SALLE;10387;Troyes;10000;Reims;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11423;Management Commercial Opérationnel - en apprentissage;10423;3113121321
0100059K;0100059K;Lycée LA SALLE;;0100059K;Lycée LA SALLE;10387;Troyes;10000;Reims;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11421;Gestion de la PME - en apprentissage;10421;3113140921
0100059K;0100059K;Lycée LA SALLE;;0100059K;Lycée LA SALLE;10387;Troyes;10000;Reims;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11418;Négociation et digitalisation de la Relation Client - en apprentissage;10418;3113121221
0100059K;0100059K;Lycée LA SALLE;;0100059K;Lycée LA SALLE;10387;Troyes;10000;Reims;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1405;Contrôle industriel et régulation automatique - en apprentissage;405;3112011321
0100059K;0100059K;Lycée LA SALLE;;0100059K;Lycée LA SALLE;10387;Troyes;10000;Reims;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11424;Gestion des transports et logistique associée - en apprentissage;10424;3113110321
0100684P;0100684P;Iut De Troyes;;0100684P;Iut De Troyes;10387;Troyes;10026;Reims;38;Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation;I.U.T;52;DUT - Service;1547;Techniques de commercialisation - en apprentissage;547;
0100022V;0100022V;Lycée Chrestien de Troyes;;0100022V;Lycée Chrestien de Troyes;10387;Troyes;10000;Reims;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;1381;Banque conseiller de clientèle - en apprentissage;381;3113131021
0101141L;0101141L;OF-CFA Centre d'apprentissage Alternance Champagne Ardenne TROYES;;0101141L;OF-CFA Centre d'apprentissage Alternance Champagne Ardenne TROYES;10387;Troyes;10000;Reims;36;Ministère du Travail;Lycée à classe postbac;43;BTS - Services;11423;Management Commercial Opérationnel - en apprentissage;10423;3113121321
0100016N;0100016N;Lycée professionnel Denis Diderot;;0100016N;Lycée professionnel Denis Diderot;10323;Romilly-sur-Seine;10100;Reims;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1385;Maintenance des systèmes - option A Systèmes de production - en apprentissage;385;3112501021
0101039A;0101039A;CFA de l'industrie de l'Aube;;0101039A;CFA de l'industrie de l'Aube;10325;Rosières-près-Troyes;10430;Reims;21;Ministère de l'Economie et des Finances;Lycée à classe postbac;42;BTS - Production;1402;Conception de produits industriels - en apprentissage;402;3112000921
0101039A;0101039A;CFA de l'industrie de l'Aube;;0101039A;CFA de l'industrie de l'Aube;10325;Rosières-près-Troyes;10430;Reims;21;Ministère de l'Economie et des Finances;Lycée à classe postbac;42;BTS - Production;1389;Maintenance des systèmes - option B Systèmes énergétiques et fluidiques - en apprentissage;389;3112501121
0101039A;0101039A;CFA de l'industrie de l'Aube;;0101039A;CFA de l'industrie de l'Aube;10325;Rosières-près-Troyes;10430;Reims;21;Ministère de l'Economie et des Finances;Lycée à classe postbac;42;BTS - Production;11410;Conception des processus de réalisation de produits (1ère année commune) - en apprentissage;10410;3112231621
0101039A;0101039A;CFA de l'industrie de l'Aube;;0101039A;CFA de l'industrie de l'Aube;10325;Rosières-près-Troyes;10430;Reims;21;Ministère de l'Economie et des Finances;Lycée à classe postbac;42;BTS - Production;1385;Maintenance des systèmes - option A Systèmes de production - en apprentissage;385;3112501021
0100948B;0100948B;CFA agricole de l'Aube;;0100948B;CFA agricole de l'Aube;10360;Saint-Pouange;10120;Reims;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1666;Aménagements paysagers - en apprentissage;666;3712140121
0100948B;0100948B;CFA agricole de l'Aube;;0100948B;CFA agricole de l'Aube;10360;Saint-Pouange;10120;Reims;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1653;Viticulture-Oenologie - en apprentissage;653;3712111221
0100948B;0100948B;CFA agricole de l'Aube;;0100948B;CFA agricole de l'Aube;10360;Saint-Pouange;10120;Reims;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1665;Gestion forestière - en apprentissage;665;3712130421
0110012D;0110012D;IFTP - Institut de Formation des Travaux Publics;;0110012D;IFTP - Institut de Formation des Travaux Publics;11076;Castelnaudary;11493;Montpellier;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1418;Travaux publics - en apprentissage;418;3112310721
0110012D;0110012D;Lycée Polyvalent Germaine Tillion;;0110012D;Lycée Polyvalent Germaine Tillion;11076;Castelnaudary;11493;Montpellier;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1416;Bâtiment - en apprentissage;416;3112301221
0110944S;0110944S;CFA de l'Aude Antenne de Castelnaudary;;0110944S;CFA de l'Aude Antenne de Castelnaudary;11076;Castelnaudary;11491;Montpellier;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1640;génie des équipements agricoles - en apprentissage;640;3712100721
0131690S;0131690S;Lycée agricole Fontlongue;;0131690S;Lycée agricole Fontlongue;13063;Miramas;13140;Aix-Marseille;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;48;Certificat de Spécialisation Agricole;481001;Arrosage intégré - en apprentissage;480001;
0132823Y;0132823Y;Maison familiale rurale de Puyloubier;;0132823Y;Maison familiale rurale de Puyloubier;13079;Puyloubier;13114;Aix-Marseille;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;43;BTS - Services;1462;Economie sociale familiale - en apprentissage;462;3113320421
0132823Y;0132823Y;Maison familiale rurale de Puyloubier;;0132823Y;Maison familiale rurale de Puyloubier;13079;Puyloubier;13114;Aix-Marseille;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;43;BTS - Services;1367;Service et prestation des secteurs sanitaire et social - en apprentissage;367;3113300121
0021873A;0021873A;Lycée Saint- Jean et La Croix;;0021873A;Lycée Saint- Jean et La Croix;02691;Saint-Quentin;02100;Amiens;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;1486;Comptabilité et gestion - en apprentissage;486;3113140821
0020050U;0020050U;Lycée Condorcet;;0020050U;Lycée Condorcet;02691;Saint-Quentin;02100;Amiens;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11418;Négociation et digitalisation de la Relation Client - en apprentissage;10418;3113121221
0021740F;0021740F;PROMEO CFAI 8002 - Antenne de Saint Quentin;;0021740F;PROMEO CFAI 8002 - Antenne de Saint Quentin;02691;Saint-Quentin;02100;Amiens;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1385;Maintenance des systèmes - option A Systèmes de production - en apprentissage;385;3112501021
0021740F;0021740F;PROMEO CFAI 8002 - Antenne de Saint Quentin;;0021740F;PROMEO CFAI 8002 - Antenne de Saint Quentin;02691;Saint-Quentin;02100;Amiens;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11423;Management Commercial Opérationnel - en apprentissage;10423;3113121321
0020049T;0020049T;Lycée Pierre de La Ramee;;0020049T;Lycée Pierre de La Ramee;02691;Saint-Quentin;02100;Amiens;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11423;Management Commercial Opérationnel - en apprentissage;10423;3113121321
0021740F;0021740F;PROMEO CFAI 8002 - Antenne de Saint Quentin;;0021740F;PROMEO CFAI 8002 - Antenne de Saint Quentin;02691;Saint-Quentin;02100;Amiens;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1404;Conception et Réalisation de Systèmes Automatiques - en apprentissage;404;3112011121
0021740F;0021740F;PROMEO CFAI 8002 - Antenne de Saint Quentin;;0021740F;PROMEO CFAI 8002 - Antenne de Saint Quentin;02691;Saint-Quentin;02100;Amiens;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11421;Gestion de la PME - en apprentissage;10421;3113140921
0020048S;0020048S;UFA Lycée Henri Martin;;0020048S;UFA Lycée Henri Martin;02691;Saint-Quentin;02100;Amiens;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;1453;Métiers de l'audio-visuel opt : montage et post-production - en apprentissage;453;3113233221
0021873A;0021873A;Lycée Saint- Jean et La Croix;;0021873A;Lycée Saint- Jean et La Croix;02691;Saint-Quentin;02100;Amiens;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;1458;Services informatiques aux organisations - en apprentissage;458;3113260921
0020048S;0020048S;UFA Lycée Henri Martin;;0020048S;UFA Lycée Henri Martin;02691;Saint-Quentin;02100;Amiens;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;1451;Métiers de l'audio-visuel opt : métiers de l'image - en apprentissage;451;3113232921
0022044L;0022044L;Lycée des Métiers le Corbusier de Soissons;;0022044L;Lycée des Métiers le Corbusier de Soissons;02722;Soissons;02331;Amiens;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1416;Bâtiment - en apprentissage;416;3112301221
0021796S;0021796S;PROMEO CFAI 8002 - Antenne de Soissons;;0021796S;PROMEO CFAI 8002 - Antenne de Soissons;02722;Soissons;02205;Amiens;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1432;Conception et réalisation en chaudronnerie industrielle - en apprentissage;432;3112541521
0021796S;0021796S;PROMEO CFAI 8002 - Antenne de Soissons;;0021796S;PROMEO CFAI 8002 - Antenne de Soissons;02722;Soissons;02205;Amiens;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1385;Maintenance des systèmes - option A Systèmes de production - en apprentissage;385;3112501021
0021796S;0021796S;PROMEO CFAI 8002 - Antenne de Soissons;;0021796S;PROMEO CFAI 8002 - Antenne de Soissons;02722;Soissons;02205;Amiens;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1436;Electrotechnique - en apprentissage;436;3112551521
0022108F;0022108F;Lycée des métiers Saint Vincent de Paul;;0022108F;Lycée des métiers Saint Vincent de Paul;02722;Soissons;02200;Amiens;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1401;Design de produits - en apprentissage;401;3112000721
0022044L;0022044L;Lycée des Métiers le Corbusier de Soissons;;0022044L;Lycée des Métiers le Corbusier de Soissons;02722;Soissons;02331;Amiens;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1420;Systèmes constructifs bois et habitat - en apprentissage;420;3112341221
0022044L;0022044L;Lycée des Métiers le Corbusier de Soissons;;0022044L;Lycée des Métiers le Corbusier de Soissons;02722;Soissons;02331;Amiens;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;42;BTS - Production;1417;Etude et économie de la construction - en apprentissage;417;3112301021
0932605B;0932605B;AFTRAL CFA TL Aulnay-Sous-Bois;;0932605B;AFTRAL CFA TL Aulnay-Sous-Bois;93005;Aulnay-sous-Bois;93600;Créteil;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;68;Formation professionnelle;1707; Technicien Supérieur en Méthodes et Exploitation Logistique (Bac +2) - en apprentissage;707;
0912098L;0912098L;CFA MFR MAISON FAMILIALE;;0912098L;CFA MFR MAISON FAMILIALE;91469;Ormoy-la-Rivière;91150;Versailles;6;Ministère de l'Education nationale et de la Jeunesse;Lycée à classe postbac;43;BTS - Services;11423;Management Commercial Opérationnel - en apprentissage;10423;3113121321
0470815F;0470815F;CFA AGRICOLE DU LOT ET GARONNE;;0470815F;CFA AGRICOLE DU LOT ET GARONNE;47252;Sainte-Livrade-sur-Lot;47110;Bordeaux;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1651;Agronomie : Productions végétales - en apprentissage;651;3712111321
0470815F;0470815F;CFA AGRICOLE DU LOT ET GARONNE;;0470815F;CFA AGRICOLE DU LOT ET GARONNE;47252;Sainte-Livrade-sur-Lot;47110;Bordeaux;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1650;Production horticole - en apprentissage;650;3712111121
0470815F;0470815F;CFA AGRICOLE DU LOT ET GARONNE;;0470815F;CFA AGRICOLE DU LOT ET GARONNE;47252;Sainte-Livrade-sur-Lot;47110;Bordeaux;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;66;BTS - Agricole;1648;Analyse, conduite et stratégie de l'entreprise agricole - en apprentissage;648;3712101421
0470815F;0470815F;CFA AGRICOLE DU LOT ET GARONNE;;0470815F;CFA AGRICOLE DU LOT ET GARONNE;47252;Sainte-Livrade-sur-Lot;47110;Bordeaux;3;Ministère de l'Agriculture et de l'Alimentation;Lycée à classe postbac;48;Certificat de Spécialisation Agricole;481011;Constructions paysagères - en apprentissage;480011;
