CodeRNCP;code;Libelle;;;
RNCP10085;310m;Spécialités plurivalentes des échanges et de la gestion;;;
RNCP10088;310;Spécialités plurivalentes des échanges et de la gestion;;;
RNCP1009;313;Finances, banque, assurances, immobilier;;;
RNCP10090;312;Commerce, vente;;;
RNCP10090;322;Techniques de l'imprimerie et de l'édition;;;
RNCP10090;320;Spécialites plurivalentes de la communication et de l'information;;;
RNCP10091;124;Psychologie;;;
RNCP10092;312;Commerce, vente;;;
RNCP10092;322;Techniques de l'imprimerie et de l'édition;;;
RNCP10092;320;Spécialites plurivalentes de la communication et de l'information;;;
RNCP10094;124;Psychologie;;;
RNCP10096;124;Psychologie;;;
RNCP10098;320;Spécialites plurivalentes de la communication et de l'information;;;
RNCP1010;331;Santé;;;
RNCP10100;124;Psychologie;;;
RNCP10102;332n;Expertise sociale et projets sociaux;;;
RNCP10102;332p;Direction de centres et de services sociaux;;;
RNCP10103;320;Spécialites plurivalentes de la communication et de l'information;;;
RNCP10103;320m;Spécialités plurivalentes de la communication et de l'information;;;
RNCP10109;325;Documentation, bibliothèque, administration des données;;;
RNCP1011;334;Accueil, hotellerie, tourisme;;;
RNCP10110;320;Spécialites plurivalentes de la communication et de l'information;;;
RNCP10110;320p;Organisation et gestion : Organisation et gestion des campagnes de relations publiques et de communication;;;
RNCP10112;320;Spécialites plurivalentes de la communication et de l'information;;;
RNCP10112;320t;Réalisation du service : Utilisation de logiciels appliqués à l'image;;;
RNCP10112;320v;Spécialités plurivalentes de la communication : production à caractère artistique;;;
RNCP10116;200n;"Conception de produits (sans autre indication); design industriel";;;
RNCP10116;201n;Conception en automatismes et robotique industriels, en informatique industrielle;;;
RNCP10116;25;Mécanique, électricité, électronique;;;
RNCP10117;20;Spécialités pluri-technologiques de production;;;
RNCP10117;311;Transports, manutention, magasinage;;;
RNCP10117;326;Informatique, traitement de l'information, réseaux de transmission;;;
RNCP10118;20;Spécialités pluri-technologiques de production;;;
RNCP10118;200;Technologies industrielles fondamentales;;;
RNCP10119;20;Spécialités pluri-technologiques de production;;;
RNCP10119;201;Technologies de commandes des transformations industrielles;;;
RNCP1012;334;Accueil, hotellerie, tourisme;;;
RNCP10120;320;Spécialites plurivalentes de la communication et de l'information;;;
RNCP10121;320;Spécialites plurivalentes de la communication et de l'information;;;
RNCP10121;321;Journalisme et communication;;;
RNCP10127;320;Spécialites plurivalentes de la communication et de l'information;;;
RNCP10127;321;Journalisme et communication;;;
RNCP10128;120g;Sciences économiques et sociales appliquées à l'aménagement et au développement, à l'administration territoriale, au commerce, aux relations sociales et aux ressources humaines, aux finances;;;
RNCP10128;312;Commerce, vente;;;
RNCP10128;136g;"Langues étrangères appliquées au tourisme, au commerce international, aux affaires, à la documentation ; Interprétariat et traduction";;;
RNCP1013;220;Spécialités pluritechnologiques des transformations;;;
RNCP10131;128;Droit, sciences politiques;;;
RNCP10133;128;Droit, sciences politiques;;;
RNCP10135;326;Informatique, traitement de l'information, réseaux de transmission;;;
RNCP1014;242;Habillement (y.c. mode, couture);;;
RNCP10147;31;Echanges et gestion;;;
RNCP10147;310;Spécialités plurivalentes des échanges et de la gestion;;;
RNCP10147;312;Commerce, vente;;;
RNCP1015;242;Habillement (y.c. mode, couture);;;
RNCP10153;128;Droit, sciences politiques;;;
RNCP10157;122;Economie;;;
RNCP10157;128;Droit, sciences politiques;;;
RNCP1016;242;Habillement (y.c. mode, couture);;;
RNCP10160;310m;Spécialités plurivalentes des échanges et de la gestion;;;
RNCP10160;313;Finances, banque, assurances, immobilier;;;
RNCP10162;122;Economie;;;
RNCP10162;128;Droit, sciences politiques;;;
RNCP10166;310;Spécialités plurivalentes des échanges et de la gestion;;;
RNCP10166;312;Commerce, vente;;;
RNCP10166;313;Finances, banque, assurances, immobilier;;;
RNCP10167;128;Droit, sciences politiques;;;
RNCP10168;333;Enseignement, formation;;;
RNCP10168;315;Ressources humaines, gestion du personnel, gestion de l'emploi;;;
RNCP10169;333;Enseignement, formation;;;
RNCP10170;333p;Organisation et administration de services et de centres de formation;;;
